date,setup_amount,return_rate,tab_type,collection_time
2025.05.15,,0.019,ESG_채권,2025-06-14 02:25:58
2025.05.20,,0.02,ESG_채권,2025-06-14 02:25:58
2025.05.22,,0.06,ESG_채권,2025-06-14 02:25:58
2025.05.23,,,ESG_채권,2025-06-14 02:25:58
2025.05.27,,0.099,ESG_채권,2025-06-14 02:25:58
2025.05.29,,0.19,ESG_채권,2025-06-14 02:25:58
2025.06.04,,0.24,ESG_채권,2025-06-14 02:25:58
2025.06.09,,0.21,ESG_채권,2025-06-14 02:25:58
2025.06.10,,0.22,ESG_채권,2025-06-14 02:25:58
2025.08.12,,0.21,ESG_채권,2025-06-14 02:25:58
2025.08.20,,0.16,ESG_채권,2025-06-14 02:25:58
